fid,id,inscricoes,latitude,longitude,elevacao,setor_abastecimento
"1","95","2019957",-3.77498984890626,-38.4824744271178,9.34817504882813,"10"
"2","164","53155",-3.73188427507244,-38.5190294333476,17,"17"
"3","172","10644555",-3.78978191561511,-38.5036833277995,10.2317304611206,"10"
"4","173","5626668",-3.76068391475248,-38.469529604164,20.4626579284668,"18"
"5","174","6829708",-3.76857675826136,-38.4728904167922,13.153865814209,"10"
"6","175","3692329",-3.76909302902281,-38.4966931115998,7.33995056152344,"10"
"7","176","8730822",-3.79680956475239,-38.467163943838,8.72823905944824,"10"
"8","177","8895996",-3.72950429074491,-38.4696025919314,49.1105728149414,"18"
"9","178","10207554",-3.78865438378336,-38.4982812241519,19.4840354919434,"10"
"10","180","10311394",-3.78690672243924,-38.4880962699928,18.6533432006836,"10"
"11","181","5178398",-3.77439796521056,-38.4751328316504,14.4227876663208,"10"
"12","182","6795250",-3.80279512754669,-38.4989751638535,16.6394748687744,"10"
"13","183","7481330",-3.78960620460575,-38.4914902308337,16,"10"
"14","184","10491171",-3.79674168697616,-38.5103057953435,4.22318315505981,"10"
"15","185","3692221",-3.72236044125697,-38.4751680037338,24.5612487792969,"18"
"16","188","3861899",-3.72462685914018,-38.4790987113521,12.3946990966797,"18"
"17","189","5565600",-3.7725506947042,-38.4951677385328,13.8404769897461,"10"
"18","190","10047913",-3.79931725306618,-38.4772409134292,23.5681610107422,"10"
"19","191","2918897",-3.78340840831418,-38.5073595390717,5,"10"
"20","192","3672670",-3.77391537493692,-38.463217619267,5.00438547134399,"10"
"21","193","3079481",-3.76622158232875,-38.5146118249613,19.2561855316162,"6"
"22","194","5081122",-3.79406758011005,-38.4979585719727,20.7538738250732,"10"
"23","195","10086846",-3.7844844696019,-38.4943715425881,18.9681625366211,"10"
"24","196","10272356",-3.78692856183683,-38.4736530971779,18,"10"
"25","197","6587828",-3.77859340484095,-38.5057012506839,4.35445070266724,"10"
"26","198","3079279",-3.76705329502698,-38.515835101914,17.9930992126465,"6"
"27","200","6559964",-3.72497313604371,-38.467352515252,22.0208740234375,"18"
"28","201","5158168",-3.77493281130709,-38.4732363602942,14.3726034164429,"10"
"29","202","10507221",-3.78377253651024,-38.4598541555281,12.7616329193115,"10"
"30","203","8305722",-3.80099528337006,-38.4687600429566,14.1054840087891,"10"
"31","204","6647090",-3.78356314567853,-38.4571103032597,10,"10"
"32","206","5435412",-3.72282747951304,-38.4778186170992,29.2059841156006,"18"
"33","207","10534156",-3.80042086373626,-38.5076989217355,5.85556125640869,"10"
"34","208","10027203",-3.80375764583406,-38.4858188481218,14.722541809082,"10"
"35","209","5083109",-3.7959709660548,-38.501999869679,15.4801931381226,"10"
"36","210","1476378",-3.76284557954051,-38.5157100780475,3.92211961746216,"6"
"37","211","7994044",-3.79540362599298,-38.4684207368006,8.25673294067383,"10"
"38","213","5115434",-3.79722609368031,-38.4696558403315,13.172643661499,"10"
"39","214","10580700",-3.79859885933583,-38.4941141696617,15,"10"
"40","215","49875",-3.7358614199735,-38.522041428963,18.8872356414795,"17"
"41","216","10519416",-3.74891020012338,-38.4746615747424,20.0559501647949,"18"
"42","217","8760870",-3.79826023883375,-38.4888379208112,21,"10"
"43","218","4943120",-3.80062842100076,-38.4638798700881,2.4265444278717,"10"
"44","220","5097541",-3.78207910083268,-38.508784527571,5,"10"
"45","221","3144690",-3.76622359883011,-38.512872946573,12.1348924636841,"6"
"46","222","8888590",-3.77941505940427,-38.4992465094189,10.6255693435669,"10"
"47","223","6589030",-3.77923840849669,-38.5064976251237,4.34906244277954,"10"
"48","224","3688852",-3.79517562199586,-38.4745422751283,9.04110813140869,"10"
"49","225","1735322",-3.75920044544016,-38.4804487982242,15.7258052825928,"10"
"50","226","10309179",-3.78407845598599,-38.4997554409914,10.2151670455933,"10"
"51","227","5160030",-3.79228710208683,-38.4753980918004,17.5503425598145,"10"
"52","228","2825120",-3.7628551109799,-38.5166879404902,4.62293195724487,"6"
"53","229","4034341",-3.72112580006551,-38.4735534565443,39,"18"
"54","230","10289992",-3.72751160090523,-38.4758106393521,17.8476219177246,"18"
"55","231","6794505",-3.80251139642434,-38.4983348356456,19.1593208312988,"10"
