inscricao,latitude,longitude,setor,elevacao
"1826344",-3.79028513610711,-38.5039062347017,"10",9.44035339355469
"2928418",-3.72563837008374,-38.4634438297313,"18",11
"10358048",-3.77504696791304,-38.5145361304844,"6",5
"812013",-3.79247471448834,-38.4949720025424,"10",18.3414554595947
"1736388",-3.75790360456046,-38.4821297609124,"10",9.57017993927002
"1813145",-3.74282260358583,-38.4886412962703,"18",20
"86711",-3.74547300100946,-38.5226773361655,"17",12.8334655761719
"4195710",-3.72919841677214,-38.47392571059,"18",28.8408946990967
"6705707",-3.79163518697468,-38.486990333468,"10",12.6998147964478
"3972208",-3.73530332304381,-38.4880565717767,"17",16.5112953186035
"392871",-3.72072637419115,-38.5307484498153,"2",16.0446453094482
"1950479",-3.76600961274138,-38.5303345389565,"6",19.2356739044189
"5448522",-3.75395652419395,-38.4718772917077,"18",22
"8819467",-3.77042337813483,-38.5115267188921,"6",3
"4173031",-3.73028348387837,-38.5227454018106,"2",16.0844612121582
"2812630",-3.76809974271273,-38.5106485445004,"6",3.32548069953918
"3512037",-3.77128029465665,-38.5120721811573,"6",3
"2928256",-3.77724673637537,-38.4574588911482,"10",3.97851061820984
"194484",-3.74960190985241,-38.5042827837634,"17",30.2881164550781
"10730087",-3.79533995368576,-38.5055663505292,"10",7
"254916",-3.732797075979,-38.4919469752192,"17",19.099292755127
"2619393",-3.72695387784193,-38.5280006064113,"2",19.809061050415
"1804634",-3.75200895810364,-38.475770466406,"18",21.2777690887451
"8526842",-3.81526243053268,-38.4748406534862,"10",24
"7422660",-3.77332498155371,-38.5290011430628,"6",14.548849105835
"10122184",-3.76720543978206,-38.5099853175113,"6",4.24129676818848
"1978926",-3.73859890081575,-38.4779696665165,"18",14.18980884552
"342157",-3.7267099365061,-38.5287995339678,"2",19.2804985046387
"5175518",-3.77182841741996,-38.4720760153557,"10",16.0097064971924
"1856146",-3.72728577510082,-38.5136878767936,"17",22
"2921669",-3.81730176381638,-38.4749826699226,"10",24.6724452972412
"6723756",-3.76101869230212,-38.5148791522884,"17",4.99057531356812
"8733325",-3.79928468032367,-38.4659167634193,"10",11.179780960083
"412988",-3.73685177539681,-38.5408049100855,"2",20
"3102696",-3.77736094561026,-38.5177452722876,"6",13.7615098953247
"2550547",-3.77023932206377,-38.4397142025138,"18",3
"7768435",-3.77127169022092,-38.5120188296389,"6",3
"2836050",-3.76851917726271,-38.511353210439,"6",3.66063451766968
"126063",-3.76119453913067,-38.5137849333129,"17",6.51723098754883
"5281059",-3.79504384181926,-38.4903080229074,"10",18.66237449646
"8814392",-3.73001517997601,-38.4703374557057,"18",54.5305061340332
"183563",-3.75524932921517,-38.5096390131409,"17",21.6188888549805
"259080",-3.73087930308324,-38.4901537492022,"17",17
"54852",-3.73292712958353,-38.515690313093,"17",22.809398651123
"227480",-3.73837021843883,-38.4983600880286,"17",30.4024810791016
"6740987",-3.8183492398692,-38.4737023762276,"10",21
"1808320",-3.75018362596449,-38.4738897322065,"18",20
"1321234",-3.77128062550987,-38.5019318933692,"10",4
"1518330",-3.7663556132975,-38.5117984019292,"6",7.78777027130127
"221163",-3.74395213156597,-38.491607482117,"17",29.4336090087891
"1809270",-3.75017683752111,-38.4724134397565,"18",20
"10652051",-3.78896389159916,-38.4888931051123,"10",13.6732196807861
"3310",-3.7301546360721,-38.5110920501355,"17",21
"5153611",-3.79464951966558,-38.4671616292462,"10",6.65543651580811
"7785992",-3.815914124348,-38.472275185664,"10",23.0406455993652
"10153217",-3.80128932187448,-38.4821767131812,"10",13.6844863891602
"3142507",-3.76692338342959,-38.5102459653492,"6",4.45759057998657
"251690",-3.73426119584421,-38.4910475307664,"17",18.0238265991211
"5276535",-3.78884238099169,-38.4867963173542,"10",10.4704942703247
"6003478",-3.77146361485845,-38.517478501115,"6",9
"8893780",-3.74897705416028,-38.4517633507964,"18",13
"9002197",-3.79364100733134,-38.4918340734468,"10",18
"7272960",-3.72628139033795,-38.4611576855586,"18",7.51165151596069
"2069822",-3.73008388279048,-38.4849297592563,"17",9.60875034332275
"4044002",-3.77061142211796,-38.5114997990703,"6",3
"5179378",-3.76025740461179,-38.4926811813753,"10",7.62971067428589
"3086801",-3.76673492399558,-38.5097680906657,"6",4
"10338349",-3.80238299474997,-38.491787882375,"10",15.5164051055908
"1805401",-3.75176762485791,-38.4748266981623,"18",20.4099235534668
"10613102",-3.77377093867129,-38.4874906044718,"10",18.0983009338379
"380520",-3.74204420286725,-38.4801616156649,"18",18
"2924447",-3.72265917873799,-38.4767524825785,"18",28.9808597564697
"10134476",-3.80903488936752,-38.4506629711409,"10",14.1049356460571
"10642994",-3.77149478633862,-38.5118997051427,"6",3
"1251830",-3.76771847621099,-38.4945944662366,"10",15.0421619415283
"13955446",-3.73906695987051,-38.5107178711891,"17",25
"10657932",-3.72486035823238,-38.5445086471416,"2",17.2918167114258
"185116",-3.75388610169438,-38.5083523605181,"17",26.6058769226074
"4820",-3.72703415729812,-38.5127473216526,"17",20.615686416626
"145602",-3.75595810319706,-38.5127641371311,"17",21
"58050",-3.73563657448865,-38.5132372121694,"17",24
"1802100",-3.74972203454178,-38.4700762354013,"18",20.1588287353516
"1806955",-3.7510835124393,-38.4733585449634,"18",20
"4197798",-3.72714111832846,-38.5380390689037,"2",18
"2533570",-3.79549480068048,-38.484250971053,"10",20.2256240844727
"3840441",-3.76647477994012,-38.4873749873362,"10",19.8445529937744
"8546576",-3.74387864999821,-38.4901856750865,"17",25.7870540618896
"185183",-3.75524025617499,-38.5089661531006,"17",21.0748043060303
"5096383",-3.78343509401511,-38.5052787943467,"10",5
"10442847",-3.74029169143547,-38.4775528849571,"18",15.2263832092285
"254100",-3.73019774540054,-38.4969727247046,"17",26.7571659088135
"10509534",-3.72247979838026,-38.5086535105156,"17",4.57453107833862
"7972792",-3.72748390072036,-38.4695276205368,"18",49.6925888061523
